ranking,title
10. ,Piazza Mercanti 
9. ,Pinacoteca di Brera 
8. ,Basilica di Sant'Ambrogio 
7. ,Navigli Lombardi 
6. ,La Scala 
5. ,Sforzesco Castle 
4. ,Quadrilatero d'Oro 
3. ,Galleria Vittorio Emanuele II 
2. ,Santa Maria delle Grazie 
1. ,Milan Cathedral  (
10. ,Piazza Mercanti 
9. ,Pinacoteca di Brera 
8. ,Basilica di Sant'Ambrogio 
7. ,Navigli Lombardi 
6. ,La Scala 
5. ,Sforzesco Castle 
4. ,Quadrilatero d'Oro 
3. ,Galleria Vittorio Emanuele II 
25. ,Baths of Caracalla 
10. ,Westminster Abbey 
2. ,Santa Maria delle Grazie 
1. ,Milan Cathedral  (
24. ,Villa Farnesina
23. ,Appian Way 
22. ,National Roman Museum 
21. ,Victor Emmanuel II Monument 
20. ,Piazza del Popolo 
19. ,Santa Maria in Trastevere
18. ,Ostia Antica 
17. ,Basilica of San Clemente
16. ,Capitoline Museums 
9. ,Palace of Westminster 
8. ,St Paul's Cathedral 
7. ,Trafalgar Square 
6. ,Tower of London  (
5. ,)
4. ,London Eye 
3. ,Buckingham Palace  (
2. ,)
1. ,British Museum 
25. ,Place des Vosges 
15. ,Palatine Hill 
14. ,San Giovanni in Laterano
13. ,Galleria Borghese 
12. ,Basilica di Santa Maria Maggiore
11. ,Saint Peter's Square 
10. ,Campo de' Fiori 
9. ,Piazza Navona 
8. ,Castel Sant'Angelo 
7. ,Roman Forum 
6. ,Spanish Steps 
5. ,Trevi Fountain 
4. ,Vatican Museums 
3. ,Pantheon 
2. ,St Peter's Basilica 
1. ,Colosseum  (
24. ,Moulin Rouge 
23. ,Conciergerie 
22. ,Pantheon 
21. ,Pere Lachaise Cemetery 
20. ,Disneyland Paris 
19. ,Musee de l'Orangerie 
18. ,Palais Garnier 
17. ,Les Invalides 
16. ,Seine Cruise 
15. ,Musee Rodin 
14. ,Les Catacombes 
13. ,Champs-Elysées 
12. ,Pont Alexandre III 
11. ,Palace of Versailles 
10. ,Place de la Concorde 
9. ,Sainte-Chapelle 
8. ,Centre Pompidou 
7. ,Musee d'Orsay 
6. ,Jardin du Luxembourg 
5. ,Sacre-Coeur 
4. ,Notre Dame de Paris 
3. ,Arc de Triomphe 
2. ,Louvre 
1. ,Eiffel Tower  (
ranking,title
10. ,Piazza Mercanti 
9. ,Pinacoteca di Brera 
8. ,Basilica di Sant'Ambrogio 
7. ,Navigli Lombardi 
6. ,La Scala 
5. ,Sforzesco Castle 
4. ,Quadrilatero d'Oro 
3. ,Galleria Vittorio Emanuele II 
2. ,Santa Maria delle Grazie 
1. ,Milan Cathedral  (
ranking,title
10. ,Piazza Mercanti 
9. ,Pinacoteca di Brera 
8. ,Basilica di Sant'Ambrogio 
7. ,Navigli Lombardi 
6. ,La Scala 
5. ,Sforzesco Castle 
4. ,Quadrilatero d'Oro 
3. ,Galleria Vittorio Emanuele II 
2. ,Santa Maria delle Grazie 
1. ,Milan Cathedral  (
ranking,title
10. ,Piazza Mercanti 
9. ,Pinacoteca di Brera 
8. ,Basilica di Sant'Ambrogio 
7. ,Navigli Lombardi 
6. ,La Scala 
5. ,Sforzesco Castle 
4. ,Quadrilatero d'Oro 
3. ,Galleria Vittorio Emanuele II 
2. ,Santa Maria delle Grazie 
1. ,Milan Cathedral  (
ranking,title
10. ,Piazza Mercanti 
9. ,Pinacoteca di Brera 
8. ,Basilica di Sant'Ambrogio 
7. ,Navigli Lombardi 
6. ,La Scala 
5. ,Sforzesco Castle 
4. ,Quadrilatero d'Oro 
3. ,Galleria Vittorio Emanuele II 
2. ,Santa Maria delle Grazie 
1. ,Milan Cathedral  (
